word,frequency
would,41
work,34
stars,31
great,31
one,29
may,23
astronomy,23
astronomers,20
large,20
time,19
science,18
results,17
could,17
years,15
two,15
made,15
man,13
method,13
observatory,13
study,12
best,12
nearly,12
case,12
small,12
value,12
world,11
every,10
much,10
greatest,10
advance,10
motion,10
first,10
astronomer,9
observatories,9
light,9
thus,9
perhaps,9
like,9
obtained,8
little,8
make,8
many,8
money,8
hundred,8
measure,8
star,8
telescope,7
spectrum,7
three,7
motions,7
us,7
astronomical,7
photographs,7
undertaken,7
far,6
telescopes,6
aid,6
several,6
way,6
size,6
thousand,6
different,6
measured,6
fund,6
larger,6
century,6
distances,6
line,6
positions,6
next,6
united,6
greater,6
photography,6
largest,6
inch,6
problem,6
second,5
must,5
third,5
matter,5
zones,5
result,5
subject,5
harvard,5
country,5
air,5
yet,5
possible,5
medium,5
feet,5
advantage,5
dollars,5
half,5
space,5
long,5
given,5
real,5
scientific,5
stations,5
practical,5
instruments,5
amount,5
states,5
since,5
number,5
observations,5
without,5
position,5
assistants,5
single,5
use,5
means,5
probably,5
vast,4
school,4
ever,4
men,4
excellent,4
example,4
give,4
bond,4
distance,4
sun,4
earth,4
plate,4
ether,4
near,4
seven,4
expenses,4
devoted,4
appeal,4
change,4
plans,4
support,4
returns,4
photographic,4
america,4
fifty,4
college,4
come,4
direction,4
centuries,4
instrument,4
determine,4
ten,4
spectra,4
committee,4
expect,4
research,4
also,4
plan,4
velocity,4
last,4
used,4
called,4
ago,4
find,4
securing,4
day,4
length,4
south,4
reached,4
publication,4
hope,4
progress,4
almost,4
student,4
well,4
portion,4
prize,3
established,3
new,3
highly,3
mr,3
law,3
researches,3
another,3
needed,3
likely,3
shall,3
observation,3
unfortunately,3
countries,3
depends,3
said,3
however,3
received,3
climate,3
applied,3
plates,3
proposed,3
advanced,3
form,3
taken,3
test,3
quantity,3
zone,3
cost,3
international,3
twentieth,3
working,3
making,3
aiding,3
still,3
year,3
living,3
care,3
later,3
ways,3
proportion,3
assistant,3
miles,3
according,3
expended,3
wisely,3
physical,3
persons,3
except,3
papers,3
either,3
output,3
measuring,3
found,3
favorite,3
greatly,3
image,3
certain,3
general,3
fill,3
original,3
consider,3
condition,3
africa,3
developed,3
solving,3
might,3
return,3
easily,3
extraordinary,3
reason,3
part,3
measures,3
clear,3
sometimes,3
physics,3
carefully,3
conditions,3
observer,3
throughout,3
recent,3
early,3
spent,3
twenty,3
question,3
properly,3
similar,3
application,3
income,3
problems,3
young,3
30,3
doubt,3
instead,3
labor,3
material,3
university,3
society,3
red,3
southern,3
determining,3
knowledge,3
employed,3
taking,3
expenditure,3
difficult,3
obtain,3
distant,3
sky,3
know,3
necessary,3
stellar,3
carried,3
funds,3
record,3
tenuous,2
teaching,2
appropriation,2
solution,2
blue,2
increasing,2
suitable,2
secure,2
world's,2
award,2
expending,2
glass,2
eclipse,2
organized,2
want,2
advancing,2
end,2
answer,2
carry,2
took,2
western,2
wasted,2
showed,2
seen,2
seem,2
relatively,2
latter,2
came,2
colors,2
endowment,2
undoubtedly,2
dr,2
reference,2
away,2
discovery,2
expense,2
interest,2
expected,2
elaborate,2
independent,2
kept,2
sciences,2
regarded,2
save,2
night,2
right,2
trustees,2
newspapers,2
intellectual,2
intrinsic,2
constructed,2
corps,2
certainly,2
clouds,2
presented,2
current,2
along,2
appears,2
thirty,2
useful,2
prove,2
apparent,2
visual,2
cases,2
rays,2
secured,2
1,2
applications,2
indeed,2
mainly,2
views,2
profession,2
entirely,2
quarter,2
owing,2
increase,2
investigation,2
million,2
entrusted,2
impossible,2
city,2
14,2
18,2
future,2
lick,2
locations,2
offering,2
take,2
investigations,2
considered,2
laws,2
precise,2
show,2
german,2
bright,2
genius,2
enough,2
fainter,2
relative,2
boundaries,2
enable,2
former,2
donors,2
engaged,2
delicate,2
breeze,2
binaries,2
around,2
read,2
dark,2
sensational,2
annually,2
assumed,2
field,2
students,2
difference,2
list,2
past,2
invention,2
sum,2
full,2
aperture,2
tested,2
sent,2
compare,2
accept,2
clarks,2
appealed,2
skilful,2
energy,2
undertake,2
members,2
american,2
station,2
photographing,2
draper,2
kind,2
double,2
determined,2
institutions,2
gold,2
see,2
individual,2
degree,2
various,2
attention,2
spectroscopic,2
foreign,2
whole,2
point,2
whatever,2
teacher,2
honorary,2
races,2
determination,2
indefinitely,2
eclipses,2
products,2
moving,2
expend,2
spend,2
individuals,2
methods,2
sight,2
scale,2
object,2
placing,2
inches,2
spectroscope,2
desert,2
required,2
continued,2
smaller,2
power,2
chicago,2
eminently,2
others,2
receive,2
residents,2
apply,2
prized,2
carrying,2
wonderful,2
six,2
fortunate,2
memoir,2
lines,2
divided,2
doubtful,2
including,2
