word,frequency
the,6008
of,3325
and,1593
to,1380
in,1378
is,1219
a,1199
that,829
it,697
our,577
we,562
this,507
at,503
as,483
are,456
from,430
by,417
which,399
with,388
sun,385
its,368
000,356
be,342
on,332
earth,318
us,310
not,293
for,283
these,253
or,248
all,237
an,235
have,229
but,228
stars,224
than,219
they,201
one,199
more,199
distance,199
moon,184
their,177
was,172
would,168
star,166
upon,165
kilometers,164
miles,163
there,158
only,155
planet,154
has,149
no,144
times,140
first,133
fig,132
if,132
so,130
were,129
some,128
light,128
heavens,127
her,124
little,120
when,117
his,116
them,115
round,114
other,113
space,112
been,112
1,112
day,111
must,111
world,108
globe,108
will,105
same,104
two,104
what,104
solar,102
most,99
like,99
can,97
may,96
second,93
into,93
less,92
very,89
years,88
terrestrial,88
celestial,87
own,87
illustration,84
surface,84
orb,83
night,82
who,80
magnitude,79
great,77
year,77
days,77
see,76
life,75
mars,74
through,74
hours,71
four,70
time,70
now,70
here,69
he,69
even,69
such,68
2,68
jupiter,68
she,66
out,66
order,65
each,65
had,62
atmosphere,62
between,62
nature,61
those,61
sky,60
diameter,59
orbit,59
itself,59
venus,59
while,57
three,57
over,57
above,56
seen,56
any,56
worlds,56
should,55
after,54
about,54
every,54
eclipse,53
3,53
yet,53
planets,53
point,52
comet,51
you,51
minutes,51
because,51
certain,50
toward,50
luminous,50
number,49
twenty,49
know,49
half,48
alpha,48
vast,48
suns,48
universe,48
let,47
then,47
still,47
where,47
without,47
system,46
during,46
again,46
visible,46
do,45
thus,45
up,44
mercury,44
disk,44
dazzling,43
i,43
rays,43
eye,43
lunar,42
almost,42
many,41
also,41
long,41
immense,41
4,41
splendid,41
weight,41
last,41
much,40
line,40
find,40
8,40
could,39
revolution,39
telescope,38
new,38
eyes,38
name,38
him,38
brilliant,37
being,37
always,37
whose,37
sometimes,36
constellations,36
since,36
before,36
form,36
different,36
per,36
another,35
far,35
nothing,35
five,34
does,34
indeed,34
seconds,34
others,34
meters,34
figure,34
full,33
way,33
distances,33
seven,33
among,33
back,33
under,33
6,33
5,33
might,33
months,32
third,32
astronomers,32
satellite,32
heat,32
motion,32
small,31
rotation,31
never,31
just,31
existence,31
fine,31
moment,31
called,31
below,31
attraction,30
observations,30
discovered,30
speed,30
hundred,30
e,30
comets,30
saturn,30
neptune,30
human,30
part,30
ourselves,30
center,30
millions,30
made,30
_i,29
nor,29
distant,29
too,29
water,29
pole,29
degree,29
how,28
east,28
million,28
beautiful,28
orbs,28
inhabitants,28
observed,28
appear,28
constellation,28
phenomenon,28
brilliancy,28
magnificent,28
illuminated,28
heaven,27
m,27
make,27
12,27
seas,27
eclipses,27
longer,27
appears,27
larger,27
six,27
equator,26
course,26
square,26
situated,26
curious,26
spots,26
7,26
10,26
astronomy,26
turn,26
come,26
angle,26
hemisphere,25
minute,25
quarter,25
say,25
west,25
burning,25
length,25
horizon,25
beyond,25
position,25
front,25
shooting,25
uranus,25
aspect,25
hour,25
already,25
gives,25
mountains,25
whole,24
sight,24
off,24
velocity,24
observation,24
left,24
depths,24
often,24
themselves,24
several,24
chapter,24
period,24
known,24
infinite,23
evening,23
clear,23
following,23
eight,23
my,23
trillion,23
double,23
reach,23
thirty,23
opposite,22
pale,22
fact,22
study,22
total,22
hand,22
invisible,22
unaided,22
well,22
give,22
side,22
300,22
greater,22
bear,22
white,22
9,22
exist,21
fire,21
principal,21
takes,21
journey,21
starry,21
force,21
seem,21
said,21
11,21
good,21
century,21
radiant,21
equal,21
blue,21
seems,21
present,21
few,21
unknown,21
shall,20
shadow,20
beings,20
science,20
rapidly,20
separates,20
received,20
nine,20
entirely,20
poles,20
matter,20
me,20
16,20
black,20
movement,20
29,20
body,20
paris,20
humanity,20
motions,20
given,20
direction,20
return,20
passes,20
measures,20
due,20
firmament,20
apparent,19
thousand,19
rest,19
dimensions,19
found,19
considerable,19
air,19
reality,19
forms,19
remains,19
powerful,19
perhaps,19
man,19
least,19
simple,19
place,19
later,19
nights,19
smaller,19
volume,19
object,18
epoch,18
real,18
circle,18
conditions,18
nearest,18
astronomical,18
measure,18
spectacle,18
149,18
enough,18
contrary,18
account,18
though,18
however,18
ocean,18
parts,18
feet,18
once,18
rapid,18
beauty,17
represents,17
right,17
people,17
93,17
take,17
divine,17
mass,17
observatory,17
spring,17
having,17
ball,17
proportion,17
0,17
soon,17
slowly,17
points,17
earth's,17
think,17
sphere,17
27,17
idea,17
relation,17
south,17
appearance,17
eternal,17
hardly,17
result,16
open,16
heads,16
next,16
red,16
drawn,16
systems,16
behind,16
effect,16
doubtless,16
100,16
better,16
near,16
down,16
beta,16
general,16
fall,16
25,16
thought,16
shining,16
clouds,16
innumerable,16
author,16
ten,16
temperature,16
king,16
hence,16
enormous,15
best,15
marvelous,15
formed,15
around,15
60,15
large,15
november,15
plane,15
readers,15
elements,15
ago,15
produced,15
farther,15
telescopic,15
shows,15
figures,15
twelve,15
mysterious,15
within,15
magnitudes,15
suppose,15
did,15
arrive,15
nearly,15
imagination,15
difference,15
21,15
23,15
28,15
30,15
composed,15
regions,15
phases,15
progress,15
revolves,15
end,15
57,15
shines,15
preceding,15
focus,15
case,15
follow,15
short,15
morning,14
exact,14
spot,14
summer,14
method,14
determined,14
sea,14
influence,14
occurred,14
instruments,14
truth,14
height,14
de,14
accordingly,14
taken,14
southern,14
et,14
central,14
colossal,14
instance,14
strange,14
density,14
universal,14
presents,14
13,14
15,14
remote,14
prodigious,14
weigh,14
latitude,14
nebula,14
bodies,14
measured,14
constantly,13
along,13
entire,13
straight,13
infinity,13
placed,13
veil,13
forty,13
notion,13
p,13
flames,13
heart,13
fixed,13
soil,13
astronomer,13
polar,13
month,13
family,13
globes,13
surrounded,13
wings,13
centaur,13
france,13
speaking,13
either,13
revolve,13
sidereal,13
le,13
40,13
god,13
greatest,13
splendor,13
why,13
head,13
fourth,13
infinitude,13
andromeda,13
feel,13
gamma,13
satellites,13
cross,13
golden,12
example,12
possible,12
winter,12
divided,12
quite,12
turned,12
dark,12
500,12
tail,12
pass,12
waves,12
measurement,12
imagine,12
milky,12
numerous,12
beneath,12
become,12
word,12
law,12
away,12
birds,12
contemplation,12
impossible,12
death,12
history,12
flaming,12
march,12
go,12
immensity,12
exactly,12
employed,12
distinguish,12
lost,12
fantastic,12
planetary,12
regarded,12
gradually,12
august,12
according,12
further,12
supposed,12
names,12
finest,12
ancient,12
complete,12
intensity,12
path,12
orion,12
relatively,12
zodiac,12
constitution,12
attracted,12
triangle,12
kilograms,12
perpetual,12
yellow,11
things,11
follows,11
accomplished,11
love,11
vega,11
saw,11
noon,11
sense,11
sirius,11
etc,11
oxygen,11
calculated,11
elongated,11
live,11
fifth,11
moreover,11
sixty,11
comparison,11
600,11
learned,11
reason,11
antiquity,11
described,11
close,11
impression,11
north,11
disappear,11
yes,11
group,11
living,11
17,11
18,11
200,11
show,11
movements,11
important,11
represent,11
186,11
giant,11
dust,11
annual,11
simply,11
objects,11
lines,11
passing,11
gaze,11
periods,11
children,11
countries,11
approach,11
hue,11
quantity,11
multiplied,11
20,11
determine,11
seasons,11
thousands,11
superb,11
june,11
plunged,10
absolute,10
traverse,10
carbon,10
pleiades,10
bottom,10
accomplishes,10
twilight,10
circumference,10
aspects,10
arcturus,10
set,10
belt,10
les,10
makes,10
doubt,10
high,10
witness,10
gentle,10
viewed,10
hope,10
means,10
green,10
ancients,10
circles,10
true,10
together,10
discover,10
illumination,10
directly,10
size,10
fifty,10
comes,10
variable,10
your,10
analogous,10
lyre,10
vault,10
creation,10
shine,10
similar,10
attention,10
reflection,10
recognized,10
108,10
turning,10
regular,10
thoughts,10
generally,10
14,10
19,10
measuring,10
deep,10
distinct,10
common,10
exhibits,10
400,10
50,10
remarkable,10
diurnal,10
midnight,10
able,10
extraordinary,10
1900,10
1901,10
turns,10
incandescent,10
whom,10
sort,10
women,10
instead,10
g,10
perseus,10
owe,10
_e,9
effects,9
rotary,9
country,9
insignificant,9
sign,9
geography,9
galileo,9
seventh,9
meteors,9
future,9
vision,9
moons,9
observe,9
perpetually,9
skies,9
neighbor,9
image,9
admire,9
sides,9
came,9
eleven,9
varies,9
bring,9
familiar,9
recognize,9
illusion,9
forces,9
spread,9
maximum,9
zone,9
terror,9
produce,9
january,9
sunset,9
touch,9
duration,9
darkness,9
colored,9
northern,9
vaster,9
silence,9
although,9
diminishes,9
perfectly,9
neither,9
senses,9
highest,9
portion,9
inhabited,9
fields,9
384,9
interesting,9
diamonds,9
across,9
mare,9
heavier,9
field,9
province,9
martian,9
meter,9
fourteen,9
bull,9
luminary,9
variations,9
direct,9
represented,9
perspective,9
presence,9
eternity,9
groups,9
marvels,9
reduced,9
abyss,9
nucleus,9
prolonged,9
directions,9
goal,9
kind,9
flight,9
analysis,9
shed,9
ellipse,9
delta,9
december,9
covered,9
fear,9
succession,8
therefore,8
travel,8
modest,8
vary,8
series,8
rotates,8
breadth,8
crescent,8
owing,8
habitation,8
average,8
former,8
62,8
fishes,8
gravitates,8
axis,8
resemble,8
methods,8
anything,8
considerably,8
atom,8
race,8
transparent,8
sufficiently,8
accompanied,8
face,8
drawing,8
sister,8
easy,8
war,8
snows,8
evidence,8
physical,8
perceived,8
explosion,8
occur,8
fires,8
silent,8
observers,8
centuries,8
sixth,8
equivalent,8
evenings,8
fairy,8
abysses,8
ask,8
famous,8
lives,8
look,8
showing,8
everywhere,8
cloud,8
herself,8
41,8
necessary,8
phenomena,8
seek,8
dog,8
perceive,8
tiny,8
exception,8
dreams,8
azure,8
attached,8
floating,8
assume,8
souls,8
pageant,8
get,8
forget,8
des,8
22,8
particularly,8
scattered,8
throughout,8
absolutely,8
giving,8
37,8
34,8
february,8
epochs,8
exists,8
proximity,8
ram,8
isolated,8
colors,8
twice,8
majestic,8
55,8
everything,8
virgin,8
removed,8
setting,8
picture,8
hydrogen,8
written,8
imposing,8
color,8
separate,8
observing,8
rather,8
equatorial,8
calculation,8
orange,8
profound,8
ray,8
nearer,8
hypothesis,8
grandeur,8
book,8
immensities,7
spectrum,7
fair,7
extent,7
eighteen,7
fairly,7
old,7
slightly,7
extremity,7
procyon,7
transported,7
celebrated,7
virtue,7
admired,7
natural,7
note,7
definite,7
combined,7
continents,7
really,7
ethereal,7
altaïr,7
hercules,7
results,7
young,7
midday,7
animals,7
produces,7
aureole,7
effected,7
indicated,7
latter,7
receives,7
voluminous,7
cone,7
born,7
formidable,7
certainly,7
vicinity,7
sublime,7
struck,7
poor,7
perihelion,7
dream,7
held,7
base,7
probability,7
whatever,7
grand,7
quarters,7
lasts,7
ancestors,7
required,7
milliards,7
becomes,7
charming,7
crossing,7
revealed,7
gray,7
state,7
importance,7
capella,7
immediately,7
ever,7
somber,7
curiosity,7
reader,7
arrived,7
somewhat,7
sees,7
mind,7
traversed,7
zones,7
appeared,7
die,7
merely,7
visit,7
fly,7
ours,7
occupied,7
especially,7
precise,7
relative,7
calendar,7
acquainted,7
island,7
preserved,7
table,7
dragon,7
easily,7
house,7
projected,7
extremely,7
eruptions,7
lion,7
zeta,7
eclipsed,7
single,7
train,7
waters,7
reached,7
324,7
stellar,7
actual,7
42,7
rise,7
hundreds,7
adjacent,7
quickly,7
burns,7
primitive,7
spectral,7
parallax,7
region,7
illuminates,7
knows,7
september,7
consequence,7
passed,7
stones,7
activity,7
c,7
rotate,7
